"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"162",5170,"Wesel",2013,"5170y2013",2085,2298,155,672,980,2,286,3725,390,9309,656,1424,1
"163",5314,"Bonn",2013,"5314y2013",1749,2455,119,679,1185,0,457,3064,374,10474,774,1747,1
"164",5315,"Köln",2013,"5315y2013",8615,11965,647,3488,5574,35,1851,11313,1934,44598,2412,5055,1
"165",5316,"Leverkusen",2013,"5316y2013",967,930,81,371,552,4,161,1399,34,3830,252,548,1
"166",5334,"Aachen",2013,"5334y2013",2987,3687,563,1321,2058,20,649,4717,672,13403,999,2195,1
"167",5358,"Düren",2013,"5358y2013",1297,1428,116,443,665,7,189,1964,111,4781,387,874,1
"168",5362,"Rhein-Erft-Kreis",2013,"5362y2013",2166,2597,230,643,1052,13,340,4232,274,9595,914,1840,1
"169",5366,"Euskirchen",2013,"5366y2013",649,894,57,254,345,2,81,1214,117,2820,244,525,1
"170",5370,"Heinsberg",2013,"5370y2013",1095,1428,175,344,503,5,125,1991,201,4352,371,816,1
"171",5374,"Oberbergischer Kreis",2013,"5374y2013",964,749,109,328,464,6,101,1538,98,2677,254,597,1
"172",5378,"Rheinisch-Bergischer Kreis",2013,"5378y2013",904,1100,57,248,360,1,90,1676,236,3510,391,857,1
"173",5382,"Rhein-Sieg-Kreis",2013,"5382y2013",1752,2731,151,662,1036,10,313,3860,487,9273,900,2079,1
"174",5512,"Bottrop",2013,"5512y2013",471,821,39,190,273,4,71,753,42,2254,177,374,1
"175",5513,"Gelsenkirchen",2013,"5513y2013",1737,2120,139,613,1025,8,376,2141,194,6432,587,1153,1
"176",5515,"Münster",2013,"5515y2013",1587,1115,119,559,833,1,243,3280,675,10629,392,931,1
"177",5554,"Borken",2013,"5554y2013",1453,1344,116,395,563,3,142,2221,116,8339,237,673,1
"178",5558,"Coesfeld",2013,"5558y2013",786,818,87,204,295,1,74,1563,155,4552,245,535,1
"179",5562,"Recklinghausen",2013,"5562y2013",2858,3691,222,966,1505,11,452,5405,586,13800,912,2131,1
"180",5566,"Steinfurt",2013,"5566y2013",1572,1329,94,429,598,1,141,2911,311,7895,288,678,1
"181",5570,"Warendorf",2013,"5570y2013",939,662,50,229,335,2,78,1814,196,4082,188,472,1
"182",5711,"Bielefeld",2013,"5711y2013",1648,1313,92,474,724,3,200,2304,656,5561,325,718,1
"183",5754,"Gütersloh",2013,"5754y2013",1068,887,86,364,533,8,139,1745,155,5142,241,556,1
"184",5758,"Herford",2013,"5758y2013",823,930,86,241,382,5,115,1311,171,3250,170,405,1
"185",5762,"Höxter",2013,"5762y2013",561,233,39,185,218,2,24,969,112,1508,18,75,1
"186",5766,"Lippe",2013,"5766y2013",828,919,77,408,574,10,124,1549,183,3497,169,466,1
