"","year","district","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"498",2013,15364,NA,NA,NA,NA,NA,NA
"499",2013,15367,NA,NA,NA,NA,NA,NA
"500",2013,15369,NA,NA,NA,NA,NA,NA
"501",2013,15370,NA,NA,NA,NA,NA,NA
"503",2013,16051,1274,119,164,485,0,506
"504",2013,16052,532,48,104,200,0,180
"505",2013,16053,665,35,58,202,0,370
"506",2013,16054,191,17,49,85,0,40
"507",2013,16055,497,39,59,178,0,221
"508",2013,16056,314,36,36,121,0,121
"509",2013,16061,835,52,93,399,0,291
"510",2013,16062,643,75,130,287,0,151
"511",2013,16063,836,38,115,454,0,229
"512",2013,16064,821,83,105,362,0,271
"513",2013,16065,540,64,95,241,0,140
"514",2013,16066,856,87,130,446,0,193
"515",2013,16067,949,60,149,393,0,347
"516",2013,16068,492,45,93,251,0,103
"517",2013,16069,531,29,106,302,0,94
"518",2013,16070,722,61,88,376,0,197
"519",2013,16071,536,39,67,315,0,115
"520",2013,16072,360,34,44,177,0,105
"521",2013,16073,729,72,125,336,0,196
"522",2013,16074,528,32,69,306,0,121
"523",2013,16075,601,39,96,304,0,162
"524",2013,16076,762,41,124,404,0,193
"18",2013,2,13874,697,1425,3625,61,8066
"366",2013,11,29211,2115,5100,9825,0,12171
